1,4.315237E-02,4.01,0.9249399
2,0.1026899,4.02,0.8255432
3,0.1622243,4.05,0.5794036
4,0.2217621,4.1,0.369908
5,0.2812981,4.19,0.3090304
6,0.3408348,4.3,0.2307106
1,0.6385155,5.01,0.9945908
2,0.6980517,5.16,0.8895938
3,0.7575872,5.3,0.6239009
4,0.8171242,5.43,0.3973168
5,0.8766608,5.57,0.3381443
6,0.9361969,5.7,0.2500394
1,1.081268,6.01,1.05149
2,1.140805,6.14,0.9467962
3,1.200341,6.28,0.660919
4,1.259878,6.41,0.4094604
5,1.319413,6.53,0.3598904
6,1.37895,6.66,0.2649053
1,1.557818,7.02,1.108199
2,1.617355,7.17,1.003707
3,1.67689,7.3,0.7050503
4,1.736428,7.43,0.4565769
5,1.795964,7.54,0.3845971
6,1.855501,7.67,0.2815523
1,2.01747,8,1.17302
2,2.077007,8.16,1.056144
3,2.136544,8.25,0.7480175
4,2.19608,8.37,0.4825533
5,2.255615,8.48,0.4100913
6,2.315152,8.6,0.2974156
1,2.511699,9,1.247085
2,2.571236,9.13,1.120196
3,2.633111,9.25,0.7971976
4,2.696028,9.38,0.5140877
5,2.758164,9.51,0.4381012
6,2.8203,9.63,0.3179131
1,3.011389,10.01,1.333486
2,3.073265,10.14,1.208843
3,3.135141,10.27,0.8493302
4,3.197277,10.4,0.5599076
5,3.259413,10.51,0.4685362
6,3.32103,10.64,0.3382973
1,3.511338,11.03,1.421378
2,3.573214,11.15,1.248555
3,3.635091,11.29,0.9060779
4,3.696966,11.41,0.6146073
5,3.758842,11.53,0.502085
6,3.820718,11.65,0.3616104
1,4.011026,12.03,1.514241
2,4.073164,12.16,1.323605
3,4.1353,12.28,0.9673086
4,4.197436,12.4,0.6647068
5,4.259572,12.54,0.5385225
6,4.321449,12.68,0.3860988
1,4.493556,13.02,1.617173
2,4.555953,13.16,1.406172
3,4.618349,13.27,1.028721
4,4.680486,13.38,1.036297
